File Name,Root Directory,File Size (MB),File Size (GB)
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E12.1080p.WEB.H264-PFa\Fixer.Upper.S03E12.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E12.1080p.WEB.H264-PFa,1914.48,1.87
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E13.1080p.WEB.H264-PFa\Fixer.Upper.S03E13.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E13.1080p.WEB.H264-PFa,1947.69,1.9
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E14.1080p.WEB.H264-PFa\Fixer.Upper.S03E14.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E14.1080p.WEB.H264-PFa,1949.31,1.9
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E15.1080p.WEB.H264-PFa\Fixer.Upper.S03E15.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E15.1080p.WEB.H264-PFa,1904.59,1.86
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E16.1080p.WEB.H264-PFa\Fixer.Upper.S03E16.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E16.1080p.WEB.H264-PFa,1918.84,1.87
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E17.1080p.WEB.H264-PFa\Fixer.Upper.S03E17.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E17.1080p.WEB.H264-PFa,1917.45,1.87
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E18.1080p.WEB.H264-PFa\Fixer.Upper.S03E18.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E18.1080p.WEB.H264-PFa,1915.54,1.87
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S04.720p.HDTV.x264-W4F-AJP69\Fixer.Upper.S04E01.720p.HDTV.x264-W4F\Fixer.Upper.S04E01.720p.HDTV.x264-W4F.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S04.720p.HDTV.x264-W4F-AJP69\Fixer.Upper.S04E01.720p.HDTV.x264-W4F,1245.01,1.22
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S04.720p.HDTV.x264-W4F-AJP69\Fixer.Upper.S04E10.Geek.DIRFIX.720p.WEB-DL.AAC2.0.H.264\Fixer.Upper.S04E10.Geek.DIRFIX.720p.WEB-DL.AAC2.0.H.264.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S04.720p.HDTV.x264-W4F-AJP69\Fixer.Upper.S04E10.Geek.DIRFIX.720p.WEB-DL.AAC2.0.H.264,1294.98,1.26
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S04.720p.HDTV.x264-W4F-AJP69\Fixer.Upper.S04E13.Second.Chance.at.a.Country.Home.720p.HDTV.x264-W4F\Fixer.Upper.S04E13.Second.Chance.at.a.Country.Home.720p.HDTV.x264-W4F.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S04.720p.HDTV.x264-W4F-AJP69\Fixer.Upper.S04E13.Second.Chance.at.a.Country.Home.720p.HDTV.x264-W4F,1283.11,1.25
